Starting client with ID: 1
Starting a file (upload.txt) upload...
CLIENT1:Got ACK from server with UID=8678
CLIENT1:Got ACK from server with UID=8679
CLIENT1:Got ACK from server with UID=8680
CLIENT1:Got ACK from server with UID=8681
CLIENT1:Got ACK from server with UID=8682
CLIENT1:Got ACK from server with UID=8683
CLIENT1:Got ACK from server with UID=8684
CLIENT1:Got ACK from server with UID=8685
CLIENT1:Got ACK from server with UID=8686
CLIENT1:Got ACK from server with UID=8687
CLIENT1:Got ACK from server with UID=8688
CLIENT1:Got ACK from server with UID=8689
CLIENT1:Got ACK from server with UID=8690
CLIENT1:Got ACK from server with UID=8691
CLIENT1:Got ACK from server with UID=8692
CLIENT1:Got ACK from server with UID=8693
CLIENT1:Got ACK from server with UID=8694
CLIENT1:Got ACK from server with UID=8695
CLIENT1:Got ACK from server with UID=8696
CLIENT1:Got ACK from server with UID=8697
CLIENT1:Got ACK from server with UID=8698
CLIENT1:Got ACK from server with UID=8699
CLIENT1:Got ACK from server with UID=8700
CLIENT1:Got ACK from server with UID=8701
CLIENT1:Got ACK from server with UID=8702
CLIENT1:Got ACK from server with UID=8703
CLIENT1:Got ACK from server with UID=8704
CLIENT1:Got ACK from server with UID=8705
CLIENT1:Got ACK from server with UID=8706
CLIENT1:Got ACK from server with UID=8707
CLIENT1:Got ACK from server with UID=8708
CLIENT1:Got ACK from server with UID=8709
CLIENT1:Got ACK from server with UID=8710
CLIENT1:Got ACK from server with UID=8711
CLIENT1:Got ACK from server with UID=8712
CLIENT1:Got ACK from server with UID=8713
CLIENT1:Got ACK from server with UID=8714
CLIENT1:Got ACK from server with UID=8715
CLIENT1:Got ACK from server with UID=8716
CLIENT1:Got ACK from server with UID=8717
CLIENT1:Got ACK from server with UID=8718
CLIENT1:Got ACK from server with UID=8719
CLIENT1:Got ACK from server with UID=8720
CLIENT1:Got ACK from server with UID=8721
CLIENT1:Got ACK from server with UID=8722
CLIENT1:Got ACK from server with UID=8723
CLIENT1:Got ACK from server with UID=8724
CLIENT1:Got ACK from server with UID=8725
CLIENT1:Got ACK from server with UID=8726
CLIENT1:Got ACK from server with UID=8727
CLIENT1:Got ACK from server with UID=8728
CLIENT1:Got ACK from server with UID=8729
CLIENT1:Got ACK from server with UID=8730
CLIENT1:Got ACK from server with UID=8731
CLIENT1:Got ACK from server with UID=8732
CLIENT1:Got ACK from server with UID=8733
CLIENT1:Got ACK from server with UID=8734
CLIENT1:Got ACK from server with UID=8735
CLIENT1:Got ACK from server with UID=8736
CLIENT1:Got ACK from server with UID=8737
CLIENT1:Got ACK from server with UID=8738
CLIENT1:Got ACK from server with UID=8739
CLIENT1:Got ACK from server with UID=8740
CLIENT1:Got ACK from server with UID=8741
CLIENT1:Got ACK from server with UID=8742
CLIENT1:Got ACK from server with UID=8743
CLIENT1:Got ACK from server with UID=8744
CLIENT1:Got ACK from server with UID=8745
CLIENT1:Got ACK from server with UID=8746
CLIENT1:Got ACK from server with UID=8747
CLIENT1:Got ACK from server with UID=8748
CLIENT1:Got ACK from server with UID=8749
CLIENT1:Got ACK from server with UID=8750
CLIENT1:Got ACK from server with UID=8751
CLIENT1:Got ACK from server with UID=8752
CLIENT1:Got ACK from server with UID=8753
CLIENT1:Got ACK from server with UID=8754
CLIENT1:Got ACK from server with UID=8755
CLIENT1:Got ACK from server with UID=8756
CLIENT1:Got ACK from server with UID=8757
CLIENT1:Got ACK from server with UID=8758
